episode,step,reward,length,running_avg,epsilon
658,105952,264.37,161,308.95,0.1
659,106202,408.53,250,311.46,0.1
660,106452,575.18,250,317.07,0.1
661,106702,819.3,250,325.12,0.1
662,106952,602.34,250,328.49,0.1
663,107143,290.77,191,330.2,0.1
664,107393,628.79,250,333.77,0.1
665,107569,290.05,176,333.46,0.1
666,107819,731.62,250,340.0,0.1
667,107943,208.37,124,340.86,0.1
668,108193,420.96,250,341.58,0.1
669,108443,545.83,250,345.74,0.1
670,108693,736.96,250,351.78,0.1
671,108943,389.21,250,352.98,0.1
672,109124,225.46,181,353.54,0.1
673,109356,260.34,232,350.76,0.1
674,109606,551.83,250,349.39,0.1
675,109744,101.38,138,348.27,0.1
