device: mps
target network: OFF (2013 paper as published)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   73.7 steps/s | 0.3 min
ep  1470 | step   298676 | reward   836.62 | avg100   626.14 | eps 0.100 | q  432.95 |   57.7 steps/s | 86.3 min
ep  1480 | step   301004 | reward    53.21 | avg100   626.63 | eps 0.100 | q  488.03 |   57.7 steps/s | 87.0 min
ep  1490 | step   303307 | reward   762.60 | avg100   626.58 | eps 0.100 | q  463.71 |   57.7 steps/s | 87.6 min
ep  1500 | step   305807 | reward   538.23 | avg100   631.44 | eps 0.100 | q  460.88 |   57.7 steps/s | 88.4 min
ep  1510 | step   308198 | reward   696.72 | avg100   624.62 | eps 0.100 | q  452.49 |   57.7 steps/s | 89.1 min
ep  1520 | step   310633 | reward   385.55 | avg100   627.54 | eps 0.100 | q  399.95 |   57.7 steps/s | 89.8 min
ep  1530 | step   313057 | reward   871.93 | avg100   619.39 | eps 0.100 | q  452.88 |   57.7 steps/s | 90.5 min
ep  1540 | step   315504 | reward   535.38 | avg100   609.31 | eps 0.100 | q  458.37 |   57.7 steps/s | 91.2 min
ep  1550 | step   317975 | reward   599.78 | avg100   598.26 | eps 0.100 | q  429.18 |   57.7 steps/s | 91.9 min
ep  1560 | step   320417 | reward   764.77 | avg100   592.03 | eps 0.100 | q  467.96 |   57.7 steps/s | 92.6 min
ep  1570 | step   322828 | reward   655.24 | avg100   591.70 | eps 0.100 | q  467.71 |   57.7 steps/s | 93.3 min
ep  1580 | step   325220 | reward   770.97 | avg100   610.05 | eps 0.100 | q  465.96 |   57.7 steps/s | 94.0 min
ep  1590 | step   327720 | reward   757.14 | avg100   628.28 | eps 0.100 | q  486.17 |   57.7 steps/s | 94.7 min
ep  1600 | step   330220 | reward   776.67 | avg100   629.37 | eps 0.100 | q  387.69 |   57.7 steps/s | 95.4 min
ep  1610 | step   332610 | reward   797.16 | avg100   628.30 | eps 0.100 | q  531.51 |   57.7 steps/s | 96.1 min
ep  1620 | step   335007 | reward   892.28 | avg100   625.85 | eps 0.100 | q  418.01 |   57.7 steps/s | 96.8 min
ep  1630 | step   337318 | reward   325.53 | avg100   624.55 | eps 0.100 | q  471.98 |   57.7 steps/s | 97.5 min
ep  1640 | step   339815 | reward   755.17 | avg100   624.56 | eps 0.100 | q  482.20 |   57.7 steps/s | 98.2 min
ep  1650 | step   342137 | reward   850.82 | avg100   637.45 | eps 0.100 | q  517.85 |   57.7 steps/s | 98.9 min
ep  1660 | step   344548 | reward   523.76 | avg100   639.04 | eps 0.100 | q  536.64 |   57.7 steps/s | 99.6 min
ep  1670 | step   346938 | reward   857.14 | avg100   641.11 | eps 0.100 | q  486.06 |   57.7 steps/s | 100.3 min
ep  1680 | step   349405 | reward   654.78 | avg100   630.52 | eps 0.100 | q  510.44 |   57.7 steps/s | 101.0 min
ep  1690 | step   351823 | reward   834.93 | avg100   628.65 | eps 0.100 | q  491.02 |   57.7 steps/s | 101.7 min
ep  1700 | step   354315 | reward   425.08 | avg100   625.38 | eps 0.100 | q  460.81 |   57.7 steps/s | 102.4 min
ep  1710 | step   356766 | reward   702.72 | avg100   627.79 | eps 0.100 | q  475.48 |   57.3 steps/s | 103.8 min
ep  1720 | step   359182 | reward   803.97 | avg100   638.55 | eps 0.100 | q  434.87 |   57.3 steps/s | 104.4 min
ep  1730 | step   361675 | reward   806.72 | avg100   656.35 | eps 0.100 | q  416.99 |   57.3 steps/s | 105.2 min
ep  1740 | step   364175 | reward   869.35 | avg100   669.96 | eps 0.100 | q  517.27 |   57.3 steps/s | 105.9 min
ep  1750 | step   366655 | reward   796.77 | avg100   675.20 | eps 0.100 | q  488.55 |   57.3 steps/s | 106.6 min
ep  1760 | step   369089 | reward   525.24 | avg100   680.25 | eps 0.100 | q  500.03 |   57.3 steps/s | 107.4 min
ep  1770 | step   371498 | reward   632.84 | avg100   679.96 | eps 0.100 | q  412.96 |   57.3 steps/s | 108.1 min
ep  1780 | step   373725 | reward   134.63 | avg100   671.76 | eps 0.100 | q  448.13 |   57.3 steps/s | 108.8 min
