update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,lr
288,575424,0.01766,4.3274,-0.486,0.048785,0.3942,0.6237,0.0007123
289,577422,0.02484,4.03791,-0.68548,0.045469,0.5285,0.4171,0.0007113
290,579420,0.02726,4.51787,-0.67941,0.043774,0.5099,0.5645,0.0007103
291,581418,0.01356,3.9505,-0.55996,0.038034,0.4927,0.5923,0.0007093
292,583416,0.01615,4.03984,-0.64279,0.042253,0.482,0.6251,0.0007083
293,585414,0.02807,4.9417,-0.74091,2.824609322683101e+35,0.5267,0.633,0.0007073
294,587412,0.02038,4.53289,-0.65967,0.045805,0.5335,0.5669,0.0007063
295,589410,0.01981,4.96068,-0.69464,0.035803,0.4982,0.585,0.0007053
296,591408,0.02181,5.0893,-0.71092,0.029366,0.4714,0.6305,0.0007043
297,593406,0.01175,5.02776,-0.60924,0.033941,0.4839,0.6038,0.0007033
298,595404,0.00701,4.88034,-0.61512,0.021064,0.4179,0.6812,0.0007023
299,597402,0.00642,5.6572,-0.65987,0.025138,0.4371,0.6601,0.0007013
300,599400,0.01519,5.50566,-0.58607,0.040019,0.4134,0.6285,0.0007003
301,601398,0.01896,5.02508,-0.65968,0.035963,0.4691,0.5295,0.0006993
302,603396,0.01543,4.93728,-0.58855,0.036445,0.4845,0.5995,0.0006983
303,605394,0.01122,5.91202,-0.60538,0.037921,0.4288,0.6554,0.0006973
304,607392,0.00865,5.46506,-0.60651,0.029002,0.3989,0.6819,0.0006963
305,609390,0.01469,5.61478,-0.76978,0.03395,0.5046,0.5219,0.0006953
306,611388,0.02053,5.55383,-0.72622,0.036157,0.499,0.519,0.0006943
307,613386,0.02128,5.05522,-0.67211,0.045242,0.4989,0.6583,0.0006933
308,615384,0.01892,5.48073,-0.72065,0.045267,0.5303,0.7084,0.0006923
309,617382,0.01462,3.95906,-0.5462,6.0283894292557885e+35,0.4945,0.719,0.0006913
310,619380,0.01964,5.67243,-0.6891,0.043338,0.4933,0.6527,0.0006903
311,621378,0.01834,4.84029,-0.70097,0.036659,0.5179,0.5688,0.0006893
312,623376,0.01168,5.68307,-0.70935,0.03471,0.496,0.6233,0.0006883
313,625374,0.00813,5.82472,-0.61643,0.127747,0.3849,0.7182,0.0006873
314,627372,0.0125,5.92522,-0.63993,0.037973,0.4499,0.689,0.0006863
315,629370,0.01144,4.61732,-0.48598,0.040643,0.4287,0.6698,0.0006853
316,631368,0.01672,5.28831,-0.54041,0.053531,0.4979,0.6081,0.0006843
317,633366,0.01308,4.08566,-0.50613,0.049256,0.4345,0.6916,0.0006833
318,635364,0.01481,4.04532,-0.40697,1.3292279165567534e+35,0.3923,0.6332,0.0006823
319,637362,0.01792,4.41264,-0.62183,8.3076744784797085e+34,0.5169,0.5534,0.0006813
320,639360,0.014,3.83387,-0.59112,0.037127,0.4948,0.6547,0.0006803
321,641358,0.03484,4.21688,-0.63639,8.3076744784797085e+34,0.5897,0.4984,0.0006793
322,643356,0.02255,5.18308,-0.64253,0.06944,0.4908,0.6314,0.0006783
323,645354,0.02588,4.9372,-0.66712,0.047324,0.4982,0.5524,0.0006773
324,647352,0.02392,4.9302,-0.62784,0.068452,0.4936,0.6455,0.0006763
