episode,step,reward,length,running_avg
703,75006,-4.64,101,3.28
704,75150,-4.28,112,3.0
705,75228,-11.74,100,2.63
706,75264,-6.12,101,2.5
707,75318,-23.04,100,2.23
708,75420,20.74,125,2.46
709,75756,-8.7,101,1.84
710,75756,41.38,125,2.21
711,75864,-16.33,100,2.07
712,75960,-2.87,107,2.28
713,75978,14.39,125,2.75
714,76020,-50.39,100,2.27
715,76362,-5.64,101,1.93
716,76464,-19.94,100,1.77
717,76506,26.81,125,2.09
718,76560,-13.1,100,1.52
719,76578,-29.58,100,1.18
720,76764,-3.35,124,1.09
721,76962,-40.99,100,0.72
722,77112,-5.99,101,0.66
723,77166,1.47,117,0.86
724,77178,-10.26,100,0.75
725,77298,1.23,123,0.8
726,77370,-10.46,101,0.78
727,77652,0.66,115,0.8
728,77712,-11.95,100,0.37
729,77778,-10.23,100,0.22
730,77898,-10.07,100,0.55
731,77916,20.62,125,0.88
732,78120,18.96,125,0.66
733,78258,-4.75,101,0.62
734,78312,-43.46,100,0.22
735,78378,-14.91,100,0.09
736,78498,-21.18,100,-0.14
737,78600,4.22,114,-0.08
738,78870,13.55,125,-0.12
739,78882,-5.19,104,-0.14
740,78984,-8.88,101,0.18
741,79020,0.84,118,-0.21
742,79146,-3.36,108,-0.02
743,79200,-21.18,100,-0.32
744,79530,-4.7,108,-0.24
745,79548,-3.61,113,-0.39
746,79668,-2.16,114,-0.97
747,79758,-4.92,102,-1.42
748,79770,14.46,125,-1.24
749,79800,-12.75,100,-1.34
750,80148,-3.9,103,-1.33
751,80178,-1.49,105,-1.3
752,80310,-5.98,107,-1.34
753,80400,-32.22,100,-2.0
754,80508,7.74,125,-1.88
755,80520,37.81,125,-1.25
756,80796,-2.82,103,-1.27
757,80796,-4.77,108,-1.27
758,81060,54.12,125,-0.69
759,81150,28.21,125,-0.16
760,81216,-1.52,118,-0.13
761,81234,-1.67,119,0.2
762,81396,-22.37,100,-0.0
763,81456,1.35,110,0.05
764,81810,47.54,125,-0.18
765,81822,-6.73,101,-0.48
766,81840,-7.17,101,-0.97
767,81900,10.34,125,-0.84
768,81996,-19.3,100,-1.06
769,82206,19.05,125,-0.79
770,82440,-23.12,100,-1.21
771,82560,25.0,125,-1.38
772,82572,35.04,125,-0.98
773,82650,32.87,125,-0.61
774,82746,39.0,125,-0.15
775,82830,-3.05,104,-0.12
776,83052,-3.17,102,-0.08
777,83166,-7.75,101,-0.13
778,83172,-17.31,100,-0.27
779,83250,-25.76,100,-0.5
780,83436,-9.13,101,-0.55
781,83496,16.44,125,-0.15
782,83778,-9.85,101,-0.75
783,83802,32.31,125,-0.42
784,83808,-5.05,107,-0.82
785,83856,-6.5,101,-0.88
786,84096,-21.75,100,-1.07
787,84186,6.38,125,-0.91
788,84378,-13.35,100,-1.05
789,84408,-13.33,100,-1.34
790,84462,-6.22,101,-1.26
791,84552,81.82,125,-0.8
792,84798,-5.36,117,-0.8
793,84936,50.79,125,-0.21
794,85098,-0.91,120,-0.18
795,85152,-14.71,100,-0.29
796,85158,8.61,125,-0.06
797,85212,5.96,125,-0.1
798,85434,-3.83,106,-0.09
799,85536,-17.7,100,-0.63
800,85698,-19.1,100,-0.81
801,85818,-4.14,101,-0.85
802,85902,6.9,125,-0.65
803,85908,28.11,125,-0.32
804,86184,26.35,125,-0.02
805,86286,36.67,125,0.47
806,86298,-11.16,100,0.42
807,86424,-6.07,101,0.59
808,86502,-10.16,100,0.28
809,86532,1.36,104,0.38
810,86898,-31.49,100,-0.35
811,86934,23.75,125,0.05
812,86994,2.03,118,0.1
813,87138,-6.73,101,-0.11
814,87174,28.03,125,0.67
815,87252,45.83,125,1.19
816,87546,-2.74,102,1.36
817,87648,14.11,125,1.23
818,87714,16.36,120,1.53
819,87780,-5.97,101,1.76
820,87852,-10.46,100,1.69
821,87888,-3.12,125,2.07
822,88248,-37.89,100,1.75
823,88266,7.81,120,1.81
824,88398,-6.0,103,1.86
825,88464,40.13,125,2.25
826,88536,-1.0,114,2.34
827,88638,32.4,125,2.66
828,88878,-2.02,102,2.76
829,88896,-0.26,108,2.86
830,89040,-2.52,107,2.93
831,89172,0.69,118,2.73
832,89280,4.7,124,2.59
833,89388,26.25,125,2.9
