device: mps
actors: 6 | 333 steps each | 1998 samples per update
ep    10 | step     1200 | reward   -10.80 | avg100   -15.70 |  111.4 steps/s | 0.2 min
ep  1970 | step   223908 | reward   100.00 | avg100    59.57 |  101.7 steps/s | 36.7 min
ep  1980 | step   225330 | reward   118.43 | avg100    60.45 |  101.8 steps/s | 36.9 min
ep  1990 | step   226182 | reward   114.06 | avg100    62.13 |  101.7 steps/s | 37.0 min
ep  2000 | step   227652 | reward    95.57 | avg100    67.89 |  101.8 steps/s | 37.3 min
ep  2010 | step   228882 | reward   -39.56 | avg100    72.40 |  101.8 steps/s | 37.5 min
ep  2020 | step   229932 | reward    42.86 | avg100    73.25 |  101.7 steps/s | 37.7 min
ep  2030 | step   231342 | reward   134.11 | avg100    74.89 |  101.8 steps/s | 37.9 min
ep  2040 | step   232506 | reward    17.28 | avg100    79.38 |  101.8 steps/s | 38.1 min
ep  2050 | step   233682 | reward   129.63 | avg100    84.25 |  101.8 steps/s | 38.3 min
ep  2060 | step   234864 | reward    57.73 | avg100    86.00 |  101.7 steps/s | 38.5 min
ep  2070 | step   236040 | reward     4.66 | avg100    78.58 |  101.7 steps/s | 38.7 min
ep  2080 | step   237288 | reward   130.77 | avg100    81.57 |  101.8 steps/s | 38.9 min
ep  2090 | step   238452 | reward    11.29 | avg100    79.60 |  101.7 steps/s | 39.1 min
ep  2100 | step   239682 | reward    88.74 | avg100    74.02 |  101.8 steps/s | 39.2 min
ep  2110 | step   241038 | reward    45.54 | avg100    72.85 |  101.8 steps/s | 39.5 min
ep  2120 | step   242052 | reward   147.31 | avg100    71.98 |  101.7 steps/s | 39.7 min
ep  2130 | step   243258 | reward   -26.75 | avg100    68.46 |  101.8 steps/s | 39.8 min
ep  2140 | step   244632 | reward     3.07 | avg100    67.23 |  101.7 steps/s | 40.1 min
ep  2150 | step   245706 | reward    -1.26 | avg100    64.61 |  101.8 steps/s | 40.2 min
ep  2160 | step   246972 | reward    32.84 | avg100    61.79 |  101.8 steps/s | 40.4 min
ep  2170 | step   248232 | reward    43.34 | avg100    65.09 |  101.7 steps/s | 40.7 min
ep  2180 | step   249258 | reward    13.33 | avg100    61.99 |  101.8 steps/s | 40.8 min
ep  2190 | step   250716 | reward    47.06 | avg100    62.66 |  101.8 steps/s | 41.1 min
ep  2200 | step   251832 | reward    76.92 | avg100    64.66 |  101.7 steps/s | 41.3 min
ep  2210 | step   252984 | reward    94.72 | avg100    64.49 |  101.8 steps/s | 41.4 min
ep  2220 | step   254316 | reward    85.95 | avg100    69.37 |  101.8 steps/s | 41.7 min
ep  2230 | step   255546 | reward   105.88 | avg100    70.92 |  101.8 steps/s | 41.8 min
ep  2240 | step   256596 | reward    68.73 | avg100    72.94 |  101.8 steps/s | 42.0 min
ep  2250 | step   258036 | reward    69.68 | avg100    73.43 |  101.7 steps/s | 42.3 min
ep  2260 | step   259218 | reward   125.49 | avg100    77.50 |  101.8 steps/s | 42.4 min
ep  2270 | step   260298 | reward     7.28 | avg100    76.13 |  101.8 steps/s | 42.6 min
ep  2280 | step   261558 | reward    45.45 | avg100    76.50 |  101.8 steps/s | 42.8 min
ep  2290 | step   262938 | reward   144.36 | avg100    81.25 |  101.8 steps/s | 43.1 min
ep  2300 | step   264048 | reward   118.87 | avg100    83.58 |  101.7 steps/s | 43.3 min
ep  2310 | step   265290 | reward   103.33 | avg100    85.59 |  101.8 steps/s | 43.4 min
